section_id,question,answer,include
general,When should I be dealing with privacy in my project?,"You should think about privacy:<ul><li>as soon as you are processing personal data. Processing means anything you do with personal data, e.g., collecting, analysing, sharing, storing, etc. The definition of personal data is explained in the chapter [What are personal data?](#personal-data).</li><li>during the earliest stages of your project. This principle is called ""[privacy by design](#privacy-by-design)"". It is easier and more effective to address any privacy issues at the design phase of your project rather than having to change your plans later on due to privacy concerns.</li></ul>",1
general,When are data truly anonymous?,You can read all about this in the chapters [What are personal data?](#personal-data) and [Pseudonymisation and anonymisation](#pseudonymisation-anonymisation).,1
general,What should I consider when handling personal data?,"It is best to conduct a [privacy scan](#privacy-scan) to check if you work with personal data. The below figure summarises what you need to describe, determine and do as part of a privacy scan: ![You should describe your purpose (what will you use the personal data for?), your data subjects (who are they, what is your relationship with them), which personal data you will use, what you will do with the sensitive data (e.g., collect, store, analyse, share), and whether you will share any personal data with other parties. You should determine which legal basis you will use (e.g., consent, public interest), what privacy risks there are in your project and how you will mitigate them, whether you need a Data Protection Impact Assessment (DPIA), and how data subjects will be able to exercise their rights. Finally, you shoud act: inform data subjects, apply organisational and technical measures to protect the data, and maintain privacy-related documentation as long as you process personal data.](img/privacyscan_infograph.png)",1
general,"My data were collected prior to the GDPR, what rules do I need to follow?","The GDPR applies to all personal data, including those collected prior to the GDPR (May 2018). Therefore, there is really no difference between how personal data should be handled before or after the advent of the GDPR.",1
general,"My data were collected outside of the EU, does the GDPR apply to them?","Yes, as long as personal data are being processed, and the [data controller, data processor, or data subject](#definitions) reside(s) in the European Economic Area, the [GDPR applies](#gdpr-scope).",1
general,How sensitive are my data?,"Personal data can differ in sensitivity, depending on the type of data (e.g., [sensitive personal data](#special-types-personal-data)), of whom the data were collected (e.g., healthy adults, children, patients, elderly, etc.) and on which scale. [Data classification](#data-classification) and a [Data Protection Impact Assessment](#dpia) are useful tools to assess how sensitive the data are.",1
procedures,Who is responsible for correctly handling personal data?,"Legally, the [controller](#definitions) of the personal data is responsible, i.e.,  the people or organisation responsible for the project activities. If you are an employee at Utrecht University (UU), the UU is legally the controller. The UU however delegates this responsibility to the appropriate employee who is actually in charge of determining why and how personal data are handled. In a research context, this is usually the researcher on the project (e.g., PhD candidate, principal investigator).",1
procedures,What does the procedure look like for researchers at Utrecht University?,"All researchers at UU have to write a [Data Management Plan](https://www.uu.nl/en/research/research-data-management/guides/data-management-planning){target=""_blank""}. Besides that, many faculties  require that a [privacy scan](#privacy-scan) is done and ethical approval is obtained. Preferably, a Data Management Plan and privacy scan (which has to sometimes be extended to a [Data Protection Impact Assessment](#dpia)) are done (and preferably marked as positive by the relevant data steward/privacy officer) before the ethical review takes place. Once accepted by the ethical committee, you can then start your research project.",1
procedures,How long will the planning process  of my research take?,"This differs per faculty, but you should count at least 1 month, if not more, to complete all planning activities. In terms of administrative work, you need to reserve time for:<ul><li>writing a Data Management Plan and having it reviewed (a few days)</li><li>filling out the [privacy scan](#privacy-scan) and consulting with the privacy officer (a few days). If a DPIA needs to be conducted, this will take more time because the Data Protection Officer also needs to be consulted.</li><li>creating information for data subjects and potentially a consent form.</li><li>going through ethical review: it can take up to 1 month before a first decision is taken by some faculty review boards, or longer for the Medical-Ethical Review Board.</li><li>in some projects, setting up an agreement.</li></ul>In general, designing your research with correctly processing personal data in mind will cost you less effort In the long run: Start as early as possible!",1
procedures,Doesn't the ethical committee also look at privacy?,"Partly, although this differs per UU faculty. In most faculties, there is a collaboration between privacy and ethics. For example, at the Faculties of Social and Behavioural Sciences, the Humanities, and Geosciences, privacy is included in the ethical application, but the privacy aspect of it is outsourced to the faculty privacy officer. For you as a researcher, it is wise to first complete a draft [privacy scan](#privacy-scan), and consult with the faculty privacy officer and only then do the ethical application, so you have already thought about the privacy aspect before the ethical review process starts.",1
consent,When is parental consent needed?,"The GDPR dictates that at least one legal guardian provide consent if you process personal data from children under 16 years old. Note that for medical data and in some faculties, there can be additional requirements, such as obtaining written consent from both parents, and also from the child themselves if the child is between 12 and 15 years old.",1
consent,Can consent be digital?,"Yes, as long as you can [demonstrate](#forms-consent) that consent was obtained, it is valid according to the GDPR. Consent can for example consist of participants ticking a checkbox in a survey tool after reading or watching information about the research. The checkbox should be empty at the start of the survey and not already come “pre-ticked”: consent must be actively given. Note that for [medical data](https://www.ccmo.nl/onderzoekers/wet-en-regelgeving-voor-medisch-wetenschappelijk-onderzoek/de-wmo-in-een-notendop/toestemming/elektronische-toestemming){target=""_blank""}, consent may have to be provided in writing: always check with your Ethical Review Board.",1
consent,Where can I find a template consent form?   ,"You can use the [minimal list of requirements](https://www.uu.nl/sites/default/files/RDM_Support_Template_Information_letter.pdf){target=""_blank""} for an information letter and read through the guidance on [informed consent](#informed-consent-forms) and [information to data subjects](#privacy-notices). Please note that some [Ethical Review Boards](https://intranet.uu.nl/en/knowledgebase/ethics-assessment){target=""_blank""} have specific templates that you should use.",1
consent,How to balance being complete vs. being intelligible in the information to participants?,"The GDPR does not require you to provide all details in the same way to participants. For example, it allows you to layer information, and it requires that you always provide the information in a format that is intelligible for your target audience, which does not necessarily have to be in text. Please refer to the section on [Information to data subjects](#privacy-notices) for more information on this. Please note that some Ethical Review Boards have specific requirements on how information should be provided to participants, which have to do with ethical and legal aspects other than the GDPR.",1
consent,"Where, how and for how long should I store my consent forms?","Consent forms have to be stored securely (access-controlled) and separately from the research data, for as long as the research data contain personal data. This can be in digital or physical (e.g., paper) form (note that paper consent forms from WMO-research are advised to be [kept even after digitisation](https://www.nfu.nl/sites/default/files/2023-09/23.01358_Richtlijn_Kwaliteitsborging_Mensgebonden_Onderzoek_2023.pdf#page=37){target=""_blank""}). Once the personal data are deleted or fully anonymised, the consent forms should be deleted as well. An empty consent form can be stored for longer, for example to check the phrases about re-use. Read more about this in the [Data storage](#data-storage) chapter.",1
consent,A participant wants to withdraw their consent. Can I continue to use their data afterwards?,"No, once a participant has withdrawn consent, you are obliged to remove any of their data that is under your control and cease any further use of their data from that point onwards. Any processing that occurred _prior_ to withdrawal is nevertheless still legal. For example, if the data were published and made publicly available prior to their withdrawal, you are not obliged to take down the entire dataset and seek all individuals that may have downloaded the data subject's data. Another example is if you already analysed the data (but have not yet published the results). In that case, the data have to be deleted, but you do not necessarily need to re-do the analysis. The only important thing is that the data then no longer support the analysis, so for research integrity reasons, you may want to re-do the analysis anyway.<br><br>Additionally, if you cannot find the participant's data in your dataset because they are deidentified too much, then you are exempt from removing them, unless participants can provide you with information to enable their re-identification.",1
legal,What if I cannot formulate a specific research question in advance?,"It is not always possible in research to be very specific about what the personal data will be used for in the future. In some cases, you can therefore use the concept of ""broad consent"", where you continuously inform data subjects and enable them to exercise their rights. This is described [in more detail here](#broad-consent).",1
legal,"I will move to another institution, can I take my research data that contains personal data with me?","Moving data to another institution constitutes a new way of “processing” data and implies that there will be a new (additional) controller of the personal data. This means that you need to take some additional steps, such as ensuring that data subjects are informed about the move, the purpose of the transfer is compatible with the original purpose(s) for data use, both institutions sign an agreement on data protection, use and ownership of the data, etc. What is possible depends largely on the context of your research and the type of data you have: contact your [faculty privacy officer](https://intranet.uu.nl/en/knowledgebase/privacyofficers){target=""_blank""} for assistance.",1
legal,When do I have to perform a Data Protection Impact Assessment?,"If there is a possibility for a [high risk of damages](#high-risk-processing) to data subjects, a DPIA is mandatory. This can for example be the case when you observe people in public spaces or process sensitive personal data on a large scale. Note that correctly performing a DPIA can take some time. Contact your faculty privacy officer if you suspect that you may need a DPIA.",1
legal,Do I need an agreement?,"An agreement is usually needed when someone outside of your institution accesses (personal) data that you control. Please refer to the [Agreements section](#agreements) to assess whether you need an agreement, and if so, which type.",1
legal,What is the difference between a Data Transfer Agreement and a Data Processing Agreement?,"A data transfer agreement is needed when (personal) data are transferred from one controller to another, and is also recommended to use when data are transferred between departments of a single controller, to delineate the agreed upon responsibilities. For example, in research is it used often when data are shared with other researchers for reuse. A data processing agreement is needed when personal data are transferred from a controller to a processor. For example, it is needed to ensure that an external survey tool protects the university’s personal data sufficiently and does not use it for their own purposes, only to provide their survey services. You can read more about [these agreements here](#agreements).",1
legal,Am I a processor as employee of my university?,"No. As an employee you are still determining your own why (research question) and how (methods) of personal data processing. This makes you a controller, acting as an ""agent"" of the legal controller (your university). Read more on the difference between processors and controllers [on the definitions page](#definitions).",1
storage,Where should I store physical personal data?,"Physical personal data should be stored in a locked area that only a select group of people has access to. The exact location will depend on the type of data (e.g., consent forms, filled out questionnaires, biomedical samples, etc.), and where you work. If possible, we recommend digitising and then destroying any paper materials in order to have the data in a secure and backed-up location.",1
storage,Where to store participants’ contact information?,"Similarly to informed consent forms, you should store contact information on a different location than the research data and well-protected (strict access control, encryption, etc.). For example, store the research data on Yoda, and the contact information in a controlled OneDrive or ResearchDrive folder. Delete the contact information when you do not longer need them (e.g., after the research project has ended).",1
sharing,Can I publish personal data?,"This is not only a privacy issue, but also an ethical one. You can in principle ask consent to publish personal data (either publicly or under restricted access), or in some cases rely on public interest to do so. Because the data will remain protected by the GDPR, anyone (re)using the data will have to abide by the GDPR as well (the requirements travel with the personal data). However, even if you have a legal basis to publish personal data, it still may not always be ethical to do so. For that reason, we recommend always obtaining ethical approval, including when you want to publish personal data. You can read more about sharing and publishing personal data for reuse in the [Sharing data for reuse chapter](#data-sharing-reuse).",1
sharing,How can I share personal data with collaborators?,"If the collaborator resides outside of your institute, but within the European Economic Area (EEA) or an [""adequate"" country](https://ec.europa.eu/info/law/law-topic/data-protection/international-dimension-data-protection/adequacy-decisions_en){target=""_blank""}, it is possible to share personal data with them, provided that data subjects are informed, there is a (joint controllers) [agreement](#agreements) with them, and other safeguards are in place (e.g., pseudonymisation). Please contact your privacy officer if the collaborator is located outside the EEA in a country without an adequate level of data protection.",1
sharing,How can I share data with a third party outside of the EEA?,"Personal data can be shared outside of the EEA if one of the following applies:<ul><li>Participants have given their explicit consent after having been well informed of the risks.</li><li>The transfer is necessary for important reasons of public interest.</li><li>The data are transferred to a non-EEA country that has been deemed [adequate by the European Commission](https://ec.europa.eu/info/law/law-topic/data-protection/international-dimension-data-protection/adequacy-decisions_en){target=""_blank""}.</li></ul><br>The above apply only to ""occasional"" transfers. For frequent transfers, [Standard Contractual Clauses](#scc) should be drafted, although this requires a greater commitment from the third parties, and may require more in-depth legal assistance to establish.",1
sharing,What should I do if some participants do not consent to sharing their data?,"This depends on the identifiability of the data and the legal basis: if it is still possible to identify individuals, then data subjects can withdraw their consent, and you won't be able to share their data for reuse. However, if the data are altered in such a way that you can no longer identify individuals within the dataset, then you can share their data for reuse. Of note, it is not always necessary to ask people their consent for data reuse for scientific purposes - consult your privacy officer. You can read more about this in the [Sharing data for reuse](#data-sharing-reuse) chapter.",1
sharing,Can I reuse medical data for research purposes?,"You likely can. The GDPR has a derogation that specifies that secondary use for research is “not incompatible with the initial purposes” ([art. 5(1)(b)](https://gdpr-info.eu/art-5-gdpr/){target=""_blank""}), meaning that it is allowed to reuse data for research, provided that you protect the data sufficiently. As with any research project, we recommend to conduct a [privacy scan](#privacy-scan) to assess the legality of your project, and to obtain ethical approval to assess the ethical aspects of your project.",1
sharing,Can I use personal data that are already published by other researchers?,"You generally can, depending on the license or terms of use that the dataset has, and assuming that the researcher who published the data had a legal basis to do so. In general, it is possible to reuse personal data for scientific research, as long as appropriate safeguards are in place ([art. 89](https://gdpr-info.eu/art-89-gdpr/){target=""_blank""}).",1
sharing,Can I reuse contact details for a new study?,"This depends on how data subjects were informed about potential reuse of their contact details: can they expect to be contacted again and for this purpose? Note that you should have obtained access to the contact details legitimately too: are you supposed to have access to their contact details in the first place? If you are uncertain about this, ask your [privacy officer](#support) for help.",1
practical-questions,I am using hardware to collect personal data. What should I take into account?,"There are many security aspects to consider when using hardware (e.g., tablets, cameras, phones, etc.), such as whether and where any personal data is recorded and whether the device is approved by the university, see [this link](https://students.uu.nl/en/practical-information/it-facilities/information-security-at-the-uu){target=""_blank""} for more information. Make sure that you transfer the data to secure storage as soon as possible and consider measures (such as encryption) that ensure that data are protected if the hardware is lost or stolen. When you use video recording hardware, be mindful of what is recorded, also in the background. For example, be aware when filming around open laptops, documents or vulnerable people.",1
practical-questions,I want to combine data from multiple sources. How can I do so securely?,"There are multiple factors to consider, depending on the type of research, the ownership of the data, involved parties, etc. As a rule of thumb, practice data minimisation, only keep the fields or variables you need. Be mindful of data ownership: if someone else owns the data, keep that dataset separate. For more information and tailored advice, contact [RDM Support](https://www.uu.nl/en/research/research-data-management/contact-us){target=""_blank""}.",1
practical-questions,Should participants know their own pseudonym?,"In general, this is a case-specific consideration. In most cases, it is not necessary to communicate the pseudonyms to the data subjects. In some cases, it can be practical, because it allows data subjects to exercise their data subject rights and can allow linking datasets from multiple waves in longitudinal studies, without having to (re-)collect participants’ names. Importantly, this implies that the link between the pseudonym and the data subject is retained (because the data subject has the ""key”), and the data are thus still personal. If you want to anonymise the data, you should therefore remove the pseudonyms that are known to the data subjects, or replace them with new ones.",0
practical-questions,How to generate suitable pseudonyms?,"A pseudonym can be a random number, cryptographic hash function, text string, etc. It is important that the pseudonym is not meaningful with respect to the data subjects: a random (unique) number or string is better than a code that contains parts of personal information, because the latter may reveal details about data subjects.",1
practical-questions,How to pseudonymise qualitative data?,"Textual data is often redacted (either manually or using a [tool](https://utrechtuniversity.github.io/privacy-engineering-tools/deidentification/){target=""_blank""} so that identifiable information is removed or replaced with a placeholder text. There are now also tools for masking or blurring video data and distorting audio. Note that sometimes it is not possible to anonymise or pseudonymise qualitative data, because you may lose too much valuable information, or because the data are just too revealing (e.g., face, voice, gestures, posture in video data, language use in audio data). In that case, other measures like access control, safe storage, and encryption may be more suitable.",1
practical-questions,I am analysing my data in a git repository to ensure reproducibility. How can I make sure I do not accidentally push the data to GitHub?,"Before you put your data in your git repository, place a line in the .gitignore file that prevents tracking the data. This way, when pushed to GitHub, the data will not be pushed alongside the other files in the repository - only the folder name will be visible. <br><br>Please note that if the data were tracked by git before, adding a line to your .gitignore will not prevent the data from being tracked. In this case, it is best to create a new git repository where you add a .gitignore file from the start, and delete all old versions from GitHub if there were any. If you delete the data, add the line to the .gitignore file, and then re-add the dataset, the tracking history from before the .gitignore will still exist and be pushed to GitHub. <br><br>Sidenote: it is possible to override the .gitignore file by force. This will likely not happen accidentally, but it is important to realise that the .gitignore file is not iron clad. You can read [more on the gitignore here](https://the-turing-way.netlify.app/project-design/sdpw/pd-sdp-sensitive-files.html){target=""_blank""}.",1
practical-questions,How to securely send participant data to participants?,"In the same protected way as when you would send personal data to fellow researchers. Researchers at Utrecht University can for example use [SURF filesender](https://filesender.surf.nl/){target=""_blank""} with encryption or share a OneDrive or Research Drive file. Be sure not to share any data from other participants or other researchers!",1
practical-questions,How to work responsibly with social media data?,"See [these guidelines](https://doi.org/10.33540/1874/406645){target=""_blank""} (in Dutch) about working with social media data. Every social media platform has different terms and conditions. Read these to see what you are, and are not, allowed to do with the data published on the platform you wish to research.",1
practical-questions,Where can I find relevant or approved tools?,"Researchers at Utrecht University can find tools via https://tools.uu.nl and the [intranet](https://intranet.uu.nl/en/knowledgebase/software-at-work-teaching-rooms-and-home){target=""_blank""}. We also curated an overview of several tools to handle personal data in [this GitHub repository](https://utrechtuniversity.github.io/privacy-engineering-tools/){target=""_blank""}.",1
practical-questions,Where can I find privacy-related templates and examples for research?,"Please refer to the [Documents and agreements chapter](#legal-documents) or the [RDM website](https://www.uu.nl/rdm){target=""_blank""}. For others, please contact your [privacy officer](https://intranet.uu.nl/en/knowledgebase/privacyofficers){target=""_blank""} and/or your [Ethical Review Board](https://intranet.uu.nl/en/knowledgebase/ethics-assessment){target=""_blank""}.",1
students,"Can I reuse educational data (e.g., grades, course evaluations) for my research?","It is possible, but its compliance would have to be documented in a [privacy scan](#privacy-scan) to explain why this further processing for scientific purposes is compliant with the GDPR. Please refer to the [use case about this topic](#reuse-education-data) for an example.",1
students,Can I share my research data containing personal data with my students?,"Preferably not. Especially in a classroom setting, students should work on anonymised data as much as possible. For thesis students, only share personal data with them as strictly necessary and make sure that the students know how to safely handle the personal data. Additionally, data subjects should be informed that these students will handle their data.",1
students,Can I (re)use personal data collected by my students?,"You should check what information was given to data subjects to see whether it is possible to reuse the data. In general, if data are deidentified and are going to be used for research, it is possible to make this data reuse legitimate - a [privacy scan](#privacy-scan) may be able to demonstrate this.",1
